Table A1: GPS Stations in Iran and Oman, their locations, velocities (mm/year) and their 1 sigma uncertainties with respect to Eurasia-fixed frame (EURA_I08). Cor is the correlation coefficient between E and N velocities. 
-------------------------------------------------------------------------
    Site   Long(°E)  Lat(°N)    Evel   Nvel    SigVe   SigVn    Cor
    ABRK   53.2260   31.1200   -1.22   14.21    1.92    1.92    0.00 
    SBAK   55.1070   30.1460    0.74   13.97    1.35    1.35    0.00 
    SRCH   55.8850   30.0140    1.33   14.20    1.67    1.66    0.00 
    GOTR   55.7910   31.4160    0.60   11.54    1.62    1.62    0.00 
    BRSR   56.7210   29.9970    1.07   15.64    1.69    1.68    0.00 
    IRAJ   56.4450   30.7750    0.19   13.88    1.60    1.60    0.00 
    SEND   55.9290   31.7130    0.38   12.69    1.06    1.06    0.00 
    RAVR   56.8090   31.2520    1.43   11.32    0.76    0.72    0.00 
    TBAS   56.8190   33.4890   -2.28    8.35    1.59    1.59    0.00 
    NYBD   57.3970   32.4920   -0.07    9.93    1.26    1.27    0.00 
    ABJN   57.0460   31.2060    3.31   11.97    1.64    1.64    0.00 
    KATI   56.3650   31.4130    1.51   11.66    1.08    1.08    0.00 
    DESL   59.2970   31.1960    2.34    7.53    1.60    1.59   -0.00 
    KHSF   58.8210   32.7550    0.99    7.05    1.16    1.16   -0.00 
    ABGR   58.3190   32.4840    1.64    8.29    1.58    1.58   -0.00 
    NEBA   60.0470   31.5730    1.60    6.60    1.30    1.30   -0.00 
    ZABL   61.7160   30.8410    2.69    3.04    1.16    0.91   -0.01 
    HAJT   60.5020   31.5730    1.98    3.00    1.20    1.20   -0.00 
    BAZ2   60.1770   27.8650    5.50    3.97    1.61    1.59   -0.00 
    BIJD   59.2550   32.9000    1.41    7.52    0.44    0.35   -0.01 
    NOGH   59.9370   32.9880    1.72    5.93    1.00    1.01   -0.00 
    SARB   59.9550   32.5780    1.95    6.22    1.18    1.19   -0.00 
    HSAD   57.4650   29.3710    3.08   14.94    1.61    1.61    0.00 
    RAIN   57.5840   29.7620    2.04   14.71    1.59    1.59    0.00 
    HRMK   57.9170   29.6420    3.25   10.65    1.62    1.60    0.00 
    BA07   58.3050   29.1490    2.20   12.52    1.48    1.47    0.00 
    BA13   58.0740   29.2300    2.16   11.61    1.58    1.58    0.00 
    BA14   57.9400   29.1050    5.75   10.63    1.13    1.12    0.00 
    BA30   57.9670   29.3160    4.22   10.56    1.13    1.12    0.00 
    BA31   58.1300   29.1870    3.39   11.71    1.52    1.50    0.00 
    BA32   58.1410   29.0780    3.56   12.14    1.54    1.52    0.00 
    BA34   58.2780   28.9440    4.95   10.57    1.62    1.61    0.00 
    BA35   58.1950   28.8880    5.82   11.59    1.56    1.54    0.00 
    BA12   58.5230   29.1370    3.89    8.49    1.13    1.12    0.00 
    BA36   58.4690   28.8980    3.79    9.72    1.49    1.49    0.00 
    BA38   58.6750   28.9600    6.16    8.31    1.15    1.14    0.00 
    CMCV   57.7600   30.5370    0.74    9.36    1.64    1.62    0.00 
    BA09   58.4280   28.7840    6.51   10.78    1.53    1.52    0.00 
    LALE   56.6900   29.5960    2.12   15.38    1.12    1.12    0.00 
    BAFT   56.5800   29.2390    1.73   14.31    1.49    1.49    0.00 
    RAZD   55.8000   28.3300    4.04   15.53    0.99    0.98    0.01 
    SRJN   55.7070   29.3040    1.12   15.28    1.64    1.63    0.00 
    SHRZ   52.6030   29.5440   -0.56   14.09    0.57    0.56   -0.02 
    ABAD   52.5680   31.2280   -0.44   13.73    1.54    1.54    0.00 
    ABAR   53.3080   31.1230   -0.35   13.10    1.55    1.54    0.00 
    BAMO   50.9800   30.1090   -1.02   17.98    1.59    1.57    0.00 
    DASH   51.8140   29.9450   -1.86   15.03    1.57    1.56   -0.00 
    DAYY   51.8360   27.8500    4.28   19.24    1.68    1.64   -0.01 
    MARV   52.7520   29.7980    0.26   13.89    1.56    1.53   -0.00 
    SEDE   52.1790   30.7260   -0.16   11.79    1.54    1.52    0.00 
    SEPI   51.3580   30.6100   -2.38   15.87    1.57    1.57    0.00 
    SHAN   51.7750   28.4000   -0.50   17.91    1.62    1.60   -0.00 
    YAGH   52.2350   29.6170   -1.41   15.00    1.54    1.53   -0.00 
    DELO   47.4290   32.6920   -1.49   16.17    1.76    1.75    0.01 
    GORI   47.7390   33.0570   -3.65   16.68    1.72    1.71    0.01 
    KORA   48.1750   33.4060   -0.98   16.38    1.68    1.68    0.01 
    BORU   48.5060   33.7720   -4.63   13.99    1.66    1.66    0.01 
    DEZF   48.6780   32.6570   -3.94   17.68    1.66    1.65    0.01 
    AHVA   48.6840   31.3400   -1.49   18.81    1.61    1.61    0.01 
    AWAZ   48.9250   31.1880   -2.88   20.49    1.68    1.66    0.01 
    SOLE   49.3280   32.0370   -3.51   18.06    1.65    1.64    0.01 
    HAFT   49.5710   31.4840   -2.23   21.29    1.66    1.63    0.00 
    SARD   50.0260   30.3250   -2.43   20.39    1.68    1.66   -0.00 
    CHEL   50.0980   32.4820   -4.11   17.16    1.64    1.62    0.00 
    KRD2   50.5310   31.8080   -4.52   15.25    1.62    1.61    0.00 
    DEDA   50.5780   30.9900   -0.07   17.19    1.64    1.62    0.00 
    SEMI   51.4300   31.2250   -4.07   13.90    1.63    1.62   -0.00 
    NOSH   51.7680   36.5860   -4.31   10.44    1.93    1.75   -0.00 
    KAN2   52.0560   27.8340    0.08   21.94    1.25    1.26   -0.01 
    FAR2   52.1060   28.8510   -2.70   19.07    1.17    1.15   -0.01 
    OSL2   52.6070   27.4740   -0.68   22.94    1.89    1.81   -0.00 
    QIR2   53.0290   28.4770   -2.80   15.37    1.18    1.18   -0.00 
    ISL2   53.0660   28.3470   -2.06   16.38    1.20    1.20   -0.00 
    SAA2   53.1460   30.0870   -0.69   12.92    1.17    1.13   -0.00 
    SVR2   53.2440   29.2810   -2.19   13.94    1.15    1.14   -0.00 
    BMG2   53.4800   26.9700    2.48   20.37    1.54    1.55    0.00 
    GOT2   53.6310   28.6240   -1.36   16.27    1.30    1.28   -0.00 
    BIG2   53.6370   27.8520   -1.23   15.41    1.32    1.32    0.00 
    TMN2   54.3160   29.2390   -2.44   13.20    1.20    1.20   -0.00 
    LAR2   54.3200   27.6440    0.05   18.16    1.36    1.36    0.01 
    DEH2   54.7000   28.6450   -2.63   13.47    1.28    1.27   -0.00 
    BAGH   55.6570   27.0000    4.84   23.80    2.43    2.25    0.03 
    FINO   55.8670   27.6510    1.44   19.07    2.33    2.19    0.02 
    GENO   56.1620   27.3660    4.07   20.98    2.34    2.18    0.02 
    MINA   57.1000   27.1600    1.55   22.76    2.21    2.05    0.02 
    MOSH   57.6200   26.9930    1.62   13.73    2.25    2.11    0.02 
    POOS   57.2370   26.3790    3.04   23.29    2.39    2.22    0.02 
    SARZ   56.9460   27.4880   -1.27   19.19    2.27    2.12    0.02 
    SORC   57.8840   27.9010    1.83   13.60    2.24    2.05    0.02 
    ALIS   51.0820   28.9190    0.66   20.65    1.06    1.03    0.01 
    BAZM   60.1800   27.8650    5.42    3.74    2.23    1.90    0.02 
    BAHR   50.6080   26.2090    3.86   20.48    1.33    1.29   -0.01 
    CHAB   60.6940   25.3000    4.36    8.00    1.82    1.75    0.02 
    ILAM   46.4270   33.6480   -3.81   16.23    1.10    1.07    0.03 
    JASK   57.7670   25.6360    2.97   13.16    1.52    1.50    0.02 
    KHAS   56.2330   26.2080    5.27   25.90    1.37    1.36    0.01 
    KHOS   48.4090   30.2460    0.02   18.95    1.15    1.10    0.02 
    LAMB   54.0040   26.8830    2.04   21.19    1.41    1.27    0.00 
    MUSC   58.5690   23.5640    8.41   26.68    1.94    1.91    0.02 
    ZABO   61.5170   31.0490    0.92    2.38    1.33    1.23    0.01 
    BAJE   58.2146   34.5584   -0.45    7.27    0.55    0.54   -0.01 
    BAKH   60.3602   35.0018    0.91    0.82    0.84    0.82   -0.05 
    BIAJ   55.8052   36.0861    1.91    9.31    0.34    0.31    0.00 
    BIAR   55.9061   35.9884    1.04    9.59    0.59    0.61   -0.01 
    BOJD   57.2716   37.4803   -1.29    5.59    0.40    0.41   -0.03 
    DARG   57.5893   35.9148   -0.32    6.28    0.53    0.54   -0.01 
    DOGH   58.8693   35.1084    0.38    5.46    0.63    0.63   -0.02 
    ESFA   57.4270   37.1588    0.72    5.06    0.63    0.65   -0.01 
    ESFN   57.4946   37.0495    1.96    5.83    0.51    0.42   -0.02 
    FARM   59.8430   35.6961    0.73    2.47    0.60    0.61   -0.07 
    FERD   58.1831   34.0307   -0.59    8.97    0.49    0.51    0.00 
    GARD   59.1972   35.4955   -0.30    3.13    0.64    0.64   -0.03 
    GOLM   59.2478   36.5582    2.09    3.84    0.56    0.53   -0.05 
    GONA   58.6835   34.3731   -0.00    7.21    0.50    0.47   -0.02 
    GRME   56.2643   37.0416   -0.73    8.53    0.52    0.53   -0.01 
    JANA   59.0756   37.4128   -0.37   -0.52    0.69    0.71   -0.03 
    KADN   58.8783   35.5917   -1.80    2.78    0.62    0.48   -0.03 
    KALT   59.6404   36.3913    1.23    1.11    0.67    0.60   -0.05 
    KHAF   60.1103   34.5888   -0.13    1.11    0.79    0.76   -0.04 
    KHUR   55.0813   33.7693    1.27   11.90    0.39    0.35   -0.02 
    KSHM   58.4730   35.2706    1.68    5.94    0.42    0.40   -0.03 
    MAR2   55.9556   37.8445   -4.51    6.31    0.58    0.61   -0.01 
    MAVT   55.9439   37.8010   -3.93    6.58    0.46    0.37   -0.02 
    MSHN   59.4798   36.3347   -0.29    1.84    0.55    0.54   -0.06 
    NFRD   59.4013   36.4501    2.90    5.08    0.59    0.54   -0.05 
    NISH   58.8203   36.2070    0.17    5.21    0.48    0.49   -0.04 
    QAE2   59.1877   33.6634   -0.47    5.70    0.74    0.72   -0.00 
    QAEN   59.1760   33.7400    0.06    6.30    0.65    0.62   -0.01 
    QUCH   58.5373   37.0707    1.51    2.34    0.51    0.47   -0.03 
    SABZ   57.6528   36.1849    2.26    7.79    0.38    0.39   -0.02 
    SAFI   57.9213   36.6981    1.25    5.25    0.55    0.41   -0.02 
    SARK   61.1486   36.5368   -0.33    0.81    0.87    0.89   -0.07 
    SHAM   58.4310   37.5699   -0.79    2.74    0.65    0.66   -0.02 
    SHKH   60.2962   33.6543    0.31    2.07    0.95    0.90   -0.02 
    TABS   56.9507   33.6034    0.36   10.54    0.50    0.43    0.00 
    THED   59.2187   35.3469    0.79    4.36    0.51    0.50   -0.05 
    TJAM   60.5642   35.2944    0.83    3.47    0.79    0.77   -0.07 
    TORQ   59.6275   36.2241    1.52    0.75    0.59    0.60   -0.06 
    TOTI   58.5315   33.0192   -0.00    8.97    0.79    0.78    0.01 
    YAZT   61.0337   36.6013   -0.88    0.03    0.88    0.90   -0.06 
    ZVNG   58.5147   36.4384    1.86    3.91    0.66    0.67   -0.02 
    BALA   44.7500   37.5340   -4.04   15.28    0.68    0.69    0.00 
    GGSH   44.9540   38.2070    2.10   13.52    0.78    0.79   -0.01 
    HSTD   47.0940   37.5760   -1.55   13.43    0.72    0.72   -0.01 
    MMKN   44.7710   37.9850   -2.22   10.21    2.46    1.04   -0.00 
    MNDB   46.0090   36.9300   -5.08   14.89    1.31    0.35   -0.01 
    SKOH   46.1230   37.9330   -0.64   13.27    0.39    0.62   -0.02 
    TASJ   45.3610   38.3160   -0.93   13.23    0.39    0.47   -0.03 
    VLDN   45.1930   38.4920    2.17   14.21    0.44    0.47   -0.03 
    AHAR   47.0500   38.4680    1.43    9.66    0.32    0.36   -0.05 
    AMND   46.1550   38.2310    0.99   11.40    0.38    0.33   -0.04 
    ARBI   48.2310   38.4770    4.15   12.23    0.47    0.46   -0.01 
    ARDH   47.6500   37.8290    0.83   12.36    0.33    0.44   -0.03 
    BRMN   47.2880   37.9190    1.15   12.87    0.44    0.30   -0.03 
    BSOF   45.7320   38.6740    3.41   10.79    0.50    0.40   -0.03 
    BZGN   44.3920   39.3790    3.54    9.82    0.79    0.80   -0.01 
    DAMO   47.7440   39.5130    6.67   14.45    0.49    0.47   -0.03 
    GOSM   48.4190   38.7060    4.71   12.86    0.95    0.83   -0.00 
    HEFZ   48.4580   38.0000    3.73   11.97    0.81    0.85   -0.02 
    JAM1   45.0490   39.2970    4.26   10.16    0.71    0.73   -0.01 
    JERM   45.6610   39.8370    4.27   11.12    0.97    0.93   -0.02 
    JOLF   45.6050   38.9520    3.32   11.03    0.70    0.71   -0.01 
    KBLG   44.5650   39.0310    2.59   12.34    0.90    0.92   -0.01 
    KHAV   46.2650   38.7360    4.96    9.62    0.68    0.69   -0.01 
    KHJE   46.5960   38.1520    2.07   10.42    0.76    0.76   -0.01 
    KLBR   47.0320   38.8690    4.18   12.47    0.75    0.75   -0.01 
    MOGH   48.0490   39.0130    5.29   11.28    0.82    0.85   -0.02 
    NORA   46.0930   39.5360    3.53   10.74    1.07    0.96    0.01 
    NZSF   45.1140   38.9990    3.18    8.70    0.80    0.80   -0.01 
    ORTA   47.8690   37.9290    3.10   13.58    0.61    0.61   -0.00 
    PIRM   47.1570   38.9840    4.22   12.06    0.66    0.67   -0.01 
    POLD   45.0620   39.3510    3.53   10.14    0.48    0.49   -0.03 
    TAZA   47.2710   38.2700    2.85   11.89    0.59    0.61   -0.01 
    VARZ   46.6030   38.1780    1.96   12.20    0.53    0.53   -0.02 
    YARD   48.3880   38.9520    4.92   13.68    0.97    0.89   -0.00 
    YKKZ   45.4140   38.6720    3.48   10.36    0.62    0.51   -0.02 
    GHOT   44.4280   38.4890   -2.47   12.10    0.72    0.73   -0.03 
    ZARI   44.5500   38.4460   -0.58   12.64    0.75    0.76   -0.01 
    ATTA   50.1000   37.1560   -0.44   13.37    2.10    2.09    0.03 
    ABAL   51.9860   35.7930   -1.25   10.31    0.52    0.51    0.01 
    ABAP   51.9870   35.7930   -1.92    9.93    0.58    0.58   -0.00 
    AMIN   52.5860   35.7010   -2.09    8.56    0.47    0.46    0.01 
    BLDH   51.8290   36.2080   -2.11    9.71    0.49    0.31    0.00 
    BOND   50.7320   36.6230   -1.62   11.18    0.74    0.76    0.00 
    GARM   51.6460   35.9850   -2.27   10.75    0.20    0.36    0.00 
    GHO1   49.8120   36.6990   -1.64   12.61    0.68    0.71   -0.00 
    HASH   48.9220   37.7640    2.12   11.59    0.44    0.46    0.00 
    HELI   52.3050   36.2060   -2.66   10.03    0.58    0.56    0.02 
    KAHO   53.7390   36.2360   -4.46    5.93    0.71    0.72    0.00 
    LARZ   52.8110   36.0780   -2.66    8.23    0.68    0.69    0.00 
    MARG   48.8910   37.1870   -0.45   11.29    0.70    0.72   -0.01 
