CIB	ABAR	53.308	31.123	−1.93	13.07	0.99	0.98	4.21	5	2006.7265
	ABAD	52.568	31.228	−2.49	13.26	0.99	0.99	4.21	4	2006.6167
	ABRK*	53.226	31.12	−2.12	13.7	1.89	1.89	1.13	16	2006.8417
	KHO2	54.126	29.923	−2.54	14.13	0.91	0.84	5.96	3	2003.737
	SAA2	53.146	30.087	−2.33	13.31	0.73	0.71	8.94	5	2006.7393
ADB	ARDA	53.822	32.313	−1.59	13.26	0.82	0.82	6.02	8	2005.6684
	SBAK	55.107	30.146	−0.42	13.17	1.31	1.31	2.39	3	2007.8833
	SRCH	55.885	30.014	0.14	13.28	1.64	1.63	1.73	2	2007.4111
	HARA	54.608	30.079	0.02	13.07	0.82	0.82	6.02	3	2005.6575
KAB	GOTR	55.791	31.416	−0.35	10.63	1.61	1.61	1.73	2	2007.5148
	BRSR	56.721	29.997	−0.12	14.6	1.66	1.65	1.73	2	2007.253
	IRAJ	56.445	30.775	−0.87	12.89	1.58	1.58	1.73	2	2007.5479
	SEND	55.929	31.713	−0.52	11.75	1.04	1.04	3.87	5	2007.5585
	RAVR*	56.809	31.252	0.43	10.28	0.73	0.69	2.02	62	2008.8125
	ROBA	56.07	33.369	−0.02	9.23	0.67	0.67	9.09	10	2008.6197
	TABS*	56.951	33.603	−0.76	9.15	0.48	0.34	2.26	107	2008.7908
	TBAS	56.819	33.489	−2.98	7.25	1.58	1.58	1.73	2	2007.6196
	NYBD	57.397	32.492	−0.92	8.81	1.25	1.26	2.63	3	2008.6343
	ABJN	57.046	31.206	2.3	10.9	1.62	1.62	1.73	2	2007.684
	KATI	56.365	31.413	0.55	10.67	1.06	1.06	3.87	5	2007.1043
LB	DESL	59.297	31.196	1.33	6.24	1.57	1.56	1.73	2	2007.7681
	BIJD*	59.255	32.9	0.56	6.25	0.4	0.29	2.71	109	2008.8161
	KHSF	58.821	32.755	0.13	5.81	1.15	1.15	3.07	4	2008.6778
	TOTI	58.531	33.019	−0.68	7.4	1.25	1.25	2.63	3	2008.6188
	ABGR	58.319	32.484	0.77	7.09	1.57	1.57	1.73	2	2007.7432
	NEBA	60.047	31.573	0.63	5.27	1.26	1.26	2.63	3	2008.5772
	SARB	59.955	32.578	1.06	4.91	1.16	1.16	3.07	5	2008.6109
	NOGH	59.937	32.988	0.86	4.62	0.98	0.98	4.29	4	2008.6156
	QAE2	59.188	33.663	−0.86	4.23	0.98	0.98	4.29	3	2008.6621
	QAEN*	59.176	33.74	−0.75	4.55	0.35	0.34	2.97	125	2008.8072
	GONA*	58.684	34.373	−0.79	5.38	0.3	0.28	3.15	134	2008.8111
	BAJE	58.215	34.558	−0.53	5.7	0.98	0.98	4.29	3	2008.6643
	FERD*	58.183	34.031	−1.75	7.73	0.38	0.42	2.71	120	2008.8111
	CMCV	57.76	30.537	−0.36	8.2	1.61	1.6	1.73	2	2007.5926
HB	ZABL*	61.716	30.841	1.71	1.58	1.05	0.77	1.52	61	2008.8319
	ZABO	61.517	31.049	−0.03	1.42	0.67	0.67	9.09	12	2008.5303
	HAJT	60.502	31.573	1.02	1.64	1.15	1.15	3.07	4	2008.7018
	SHKH	60.296	33.654	−0.38	−1.58	1.16	1.16	3.07	4	2007.4672
	BAZ2	60.177	27.865	4.14	2.37	1.42	1.42	2.16	2	2007.6142
	BAZM	60.18	27.865	2.15	3.09	1.44	1.44	6.02	3	2001.6115
NDR	DARG	57.589	35.915	−0.76	5.63	0.98	0.98	4.29	4	2008.6307
	GARD	59.197	35.495	−0.22	2.62	0.98	0.98	4.29	3	2008.6919
	KADN*	58.878	35.592	−0.41	2.18	0.8	0.41	3.43	165	2008.8213
	TJAM*	60.564	35.294	−0.51	3.38	0.64	0.68	2.01	61	2008.8449
	BAKH	60.36	35.002	0.08	−0.01	0.98	0.98	4.29	4	2008.6651
	FARM*	59.843	35.696	0.11	1.12	0.39	0.28	3.47	168	2008.7977
	THED*	59.219	35.347	−0.03	3.51	0.28	0.28	3.51	167	2008.7967
	BIAR	55.906	35.988	0.13	8.43	1.17	1.17	3.07	4	2008.5613
	BIAJ*	55.805	36.086	1.3	8.36	0.52	0.37	2.65	74	2008.8303
	SEMN	53.564	35.662	0.38	8.71	0.82	0.82	6.02	3	2005.5872
	SMNN*	53.421	35.588	0.95	8.82	0.39	0.29	3.23	152	2008.6155
SDR	BAJE	58.215	34.558	−0.53	5.7	0.98	0.98	4.29	3	2008.6643
	KHUR*	55.081	33.769	−0.14	10.55	0.65	0.48	2.02	60	2008.8472
	DOGH	58.869	35.108	−0.3	4.99	0.98	0.98	4.29	4	2008.6764
S/B	QAE2	59.188	33.663	−0.86	4.23	0.98	0.98	4.29	3	2008.6621
	QAEN*	59.176	33.74	−0.75	4.55	0.35	0.34	2.97	125	2008.8072
	BIJD*	59.255	32.9	0.56	6.25	0.4	0.29	2.71	109	2008.8161
	NOGH	59.937	32.988	0.86	4.62	0.98	0.98	4.29	4	2008.6156
	SARB	59.955	32.578	1.06	4.91	1.16	1.16	3.07	5	2008.6109
DeB	BAJE	58.215	34.558	−0.53	5.7	0.98	0.98	4.29	3	2008.6643
	GONA*	58.684	34.373	−0.79	5.38	0.3	0.28	3.15	134	2008.8111
	QAE2	59.188	33.663	−0.86	4.23	0.98	0.98	4.29	3	2008.6621
	QAEN*	59.176	33.74	−0.75	4.55	0.35	0.34	2.97	125	2008.8072
G	HSAD	57.465	29.371	1.8	13.78	1.56	1.56	1.73	2	2007.7626
	RAIN	57.584	29.762	0.82	13.55	1.55	1.55	1.73	2	2007.7205
	BA07	58.305	29.149	0.91	11.24	1.41	1.41	2.14	6	2005.9876
	BA13	58.074	29.23	0.87	10.37	1.52	1.52	1.92	5	2005.9697
	BA14	57.94	29.105	4.44	9.4	1.04	1.04	3.87	7	2007.4989
	BA30	57.967	29.316	2.94	9.33	1.05	1.05	3.87	7	2007.4277
	BA31	58.13	29.187	2.1	10.46	1.45	1.44	2.14	7	2005.6475
	BA32	58.141	29.078	2.25	10.88	1.47	1.46	2.14	6	2005.7444
	BA34	58.278	28.944	3.63	9.28	1.55	1.54	1.92	5	2005.6991
	BA35	58.195	28.888	4.48	10.31	1.48	1.47	2.03	6	2005.6818
	HRMK	57.917	29.642	2.02	9.45	1.57	1.56	1.73	2	2007.7086
BA	BA07	58.305	29.149	0.91	11.24	1.41	1.41	2.14	6	2005.9876
	BA13	58.074	29.23	0.87	10.37	1.52	1.52	1.92	5	2005.9697
	BA14	57.94	29.105	4.44	9.4	1.04	1.04	3.87	7	2007.4989
	BA30	57.967	29.316	2.94	9.33	1.05	1.05	3.87	7	2007.4277
	BA31	58.13	29.187	2.1	10.46	1.45	1.44	2.14	7	2005.6475
	BA32	58.141	29.078	2.25	10.88	1.47	1.46	2.14	6	2005.7444
	BA34	58.278	28.944	3.63	9.28	1.55	1.54	1.92	5	2005.6991
	BA35	58.195	28.888	4.48	10.31	1.48	1.47	2.03	6	2005.6818
	BA12	58.523	29.137	2.6	7.19	1.03	1.03	3.87	8	2007.666
	BA36	58.469	28.898	2.47	8.41	1.41	1.41	2.14	6	2005.9636
	BA38	58.675	28.96	4.86	6.98	1.04	1.04	3.87	6	2007.5495
	CMCV	57.76	30.537	−0.36	8.2	1.61	1.6	1.73	2	2007.5926
SA	GHOL	57.217	28.01	0.16	14.86	1.44	1.44	1.99	4	2001.9282
	SORC	57.884	27.901	0.94	12.57	1.44	1.43	1.99	4	2001.953
	KHAF	60.11	34.589	−1.38	0.49	0.98	0.98	4.29	4	2008.7051
	KSHM*	58.473	35.271	0.54	4.63	0.3	0.24	3.18	153	2008.7988
	KASH	58.464	35.293	−0.41	4.67	0.82	0.82	6.02	3	2005.6569
	BA09	58.428	28.784	5.17	9.46	1.44	1.44	2.14	6	2005.8341
	KERM	57.119	30.277	0.36	14.9	0.71	0.71	8.18	12	2007.3096
	LALE	56.69	29.596	0.86	14.34	1.06	1.06	3.87	5	2007.7217
	BAFT*	56.58	29.239	0.4	13.27	1.44	1.44	1.73	8	2007.8835
	DENA	56.504	28.529	4.05	14.69	1.45	1.44	1.99	2	2001.9122
	HAJI	55.918	28.302	−6.36	14.24	0.91	0.91	5.21	6	2003.6791
	FINO	55.867	27.651	1.41	19.06	1.47	1.46	1.99	2	2001.8072
	RAZD	55.8	28.33	2.52	14.58	0.85	0.84	5.67	5	2005.6256
	SRJN	55.707	29.304	−0.2	14.38	1.59	1.58	1.73	2	2007.6577
	BES2	54.832	29.363	0.9	13.82	0.91	0.84	5.96	3	2003.6079
	DEH2	54.7	28.645	0.91	13.65	0.89	0.84	5.96	4	2003.7662
	LAR2	54.32	27.644	−0.88	17.64	0.94	0.86	5.96	4	2003.5402
	TMN2	54.316	29.239	1.17	13.53	0.7	0.68	8.94	5	2006.5933
	BIG2	53.637	27.852	1.74	16.05	1.01	0.93	5.96	4	2003.7056
