     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  47.572  32.753     9.5     0.0      99      99    99.0     360   0.108     0.5     0.5  2014 08 22 08 24 00.07
  47.522  32.801     9.8     0.0      99      99    99.0     360   0.112     0.5     0.5  2014 08 22 09 00 42.79
  47.722  32.694     9.1     0.0      99      99    99.0     360   0.156     0.5     0.4  2014 08 22 11 59 58.04
  47.515  32.771     6.5     0.0      99      99    99.0     360   0.138     0.3     0.4  2014 08 22 12 34 51.18
  47.635  32.660    10.9     0.0      99      99    99.0     360   0.200     0.4     0.5  2014 08 22 12 49 28.98
  47.645  32.710     9.5     0.0      99      99    99.0     360   0.120     0.9     1.1  2014 08 22 16 40 32.00
  47.638  32.746     8.0     0.0      99      99    99.0     360   0.111     0.3     0.2  2014 08 22 17 03 36.96
  47.648  32.711     8.8     0.0      99      99    99.0     360   0.158     1.0     0.9  2014 08 22 17 07 47.03
  47.476  32.748    10.4     0.0      99      99    99.0     360   0.118     0.3     0.5  2014 08 22 17 18 45.96
  47.595  32.711    10.6     0.0      99      99    99.0     360   0.114     0.3     0.3  2014 08 22 17 50 15.96
  47.482  32.757    11.3     0.0      99      99    99.0     360   0.151     0.5     0.9  2014 08 22 18 44 30.00
  47.611  32.683    12.1     0.0      99      99    99.0     360   0.115     0.4     0.8  2014 08 22 19 35 56.29
  47.711  32.662    12.6     0.0      99      99    99.0     360   0.116     0.4     0.3  2014 08 22 20 19 46.00
  47.450  32.764     8.4     0.0      99      99    99.0     360   0.264     1.7     1.3  2014 08 22 21 01 31.23
  47.360  32.743     9.9     0.0      99      99    99.0     360   0.124     0.6     0.6  2014 08 22 21 08 22.00
  47.792  32.660    11.7     0.0      99      99    99.0     360   0.154     0.6     0.5  2014 08 22 21 16 48.97
  47.610  32.742     8.1     0.0      99      99    99.0     360   0.091     0.4     0.3  2014 08 22 22 33 43.00
  47.680  32.653    10.7     0.0      99      99    99.0     360   0.150     0.5     0.5  2014 08 22 23 54 57.07
  47.497  32.756     9.7     0.0      99      99    99.0     360   0.108     0.3     0.4  2014 08 23 00 06 07.04
  47.574  32.756     2.4     0.0      99      99    99.0     360   0.180     0.4     1.3  2014 08 23 00 07 47.03
  47.767  32.712     7.7     0.0      99      99    99.0     360   0.143     0.8     0.5  2014 08 23 00 11 35.07
  47.576  32.695    13.7     0.0      99      99    99.0     360   0.172     0.4     0.7  2014 08 23 00 23 03.89
  47.574  32.693    13.0     0.0      99      99    99.0     360   0.156     0.5     0.7  2014 08 23 00 23 04.91
  47.598  32.706    10.1     0.0      99      99    99.0     360   0.141     0.4     0.4  2014 08 23 00 38 57.85
  47.631  32.656    12.2     0.0      99      99    99.0     360   0.135     0.4     0.5  2014 08 23 00 49 08.00
  47.769  32.714    10.2     0.0      99      99    99.0     360   0.117     0.4     0.3  2014 08 23 01 04 36.93
  47.765  32.708    11.3     0.0      99      99    99.0     360   0.125     0.5     0.4  2014 08 23 01 04 36.03
  47.783  32.707     9.6     0.0      99      99    99.0     360   0.152     0.5     0.4  2014 08 23 01 12 00.10
  47.545  32.713    10.1     0.0      99      99    99.0     360   0.094     0.4     0.5  2014 08 23 01 19 28.10
  47.590  32.707     9.7     0.0      99      99    99.0     360   0.100     0.4     0.3  2014 08 23 01 33 59.99
  47.730  32.614    10.1     0.0      99      99    99.0     360   0.159     0.6     0.5  2014 08 23 01 40 01.16
  47.628  32.692    10.1     0.0      99      99    99.0     360   0.095     0.4     0.4  2014 08 23 01 43 27.92
  47.686  32.693     5.1     0.0      99      99    99.0     360   0.244     0.6     0.9  2014 08 23 01 57 04.20
  47.776  32.768    14.3     0.0      99      99    99.0     360   0.097     0.5     0.6  2014 08 23 02 09 23.01
  47.485  32.756    10.7     0.0      99      99    99.0     360   0.120     0.3     0.4  2014 08 23 02 33 16.01
  47.495  32.744    11.4     0.0      99      99    99.0     360   0.093     0.3     0.2  2014 08 23 03 00 28.98
  47.743  32.636    11.1     0.0      99      99    99.0     360   0.168     0.6     0.5  2014 08 23 03 05 55.95
  47.684  32.660    11.9     0.0      99      99    99.0     360   0.135     0.4     0.4  2014 08 23 03 17 22.25
  47.734  32.673    11.2     0.0      99      99    99.0     360   0.115     0.4     0.4  2014 08 23 03 19 46.02
  47.583  32.721    10.3     0.0      99      99    99.0     360   0.078     0.3     0.4  2014 08 23 03 25 56.96
  47.748  32.636    11.7     0.0      99      99    99.0     360   0.139     0.5     0.5  2014 08 23 03 30 31.05
  47.714  32.758     9.5     0.0      99      99    99.0     360   0.154     0.4     0.3  2014 08 23 03 40 10.02
  47.734  32.669    10.4     0.0      99      99    99.0     360   0.114     0.4     0.3  2014 08 23 03 47 58.96
  47.494  32.742    11.6     0.0      99      99    99.0     360   0.126     0.7     0.5  2014 08 23 05 14 35.03
  47.583  32.683    15.4     0.0      99      99    99.0     360   0.188     0.5     0.6  2014 08 23 05 57 40.02
  47.481  32.747    11.5     0.0      99      99    99.0     360   0.094     0.3     0.2  2014 08 23 06 08 47.00
  47.734  32.615    11.6     0.0      99      99    99.0     360   0.139     0.6     0.5  2014 08 23 06 28 08.11
  47.440  32.710    13.2     0.0      99      99    99.0     360   0.063     0.6     0.4  2014 08 23 06 42 06.98
  47.713  32.604    10.9     0.0      99      99    99.0     360   0.107     0.5     0.4  2014 08 23 06 52 03.06
  47.737  32.621    12.8     0.0      99      99    99.0     360   0.114     0.5     0.4  2014 08 23 07 33 56.07
  47.576  32.698    10.0     0.0      99      99    99.0     360   0.101     0.4     0.5  2014 08 23 08 08 29.92
  47.775  32.649    11.9     0.0      99      99    99.0     360   0.209     0.5     0.4  2014 08 23 08 12 52.10
  47.692  32.726     9.5     0.0      99      99    99.0     360   0.123     0.8     0.7  2014 08 23 08 25 44.96
  47.489  32.757    11.6     0.0      99      99    99.0     360   0.114     0.4     0.3  2014 08 23 08 42 23.01
  47.540  32.736     9.7     0.0      99      99    99.0     360   0.148     0.4     0.5  2014 08 23 09 37 22.92
  47.736  32.669    11.9     0.0      99      99    99.0     360   0.159     0.5     0.4  2014 08 23 09 39 49.00
  47.764  32.680    10.4     0.0      99      99    99.0     360   0.125     0.6     0.4  2014 08 23 10 03 18.01
  47.773  32.685     9.7     0.0      99      99    99.0     360   0.074     0.6     0.4  2014 08 23 10 03 18.25
  47.678  32.685     9.3     0.0      99      99    99.0     360   0.148     0.6     0.7  2014 08 23 10 39 45.14
  47.696  32.724     9.6     0.0      99      99    99.0     360   0.105     0.3     0.3  2014 08 23 10 53 49.97
  47.693  32.724     9.9     0.0      99      99    99.0     360   0.109     0.4     0.2  2014 08 23 10 53 49.97
  47.676  32.671    10.0     0.0      99      99    99.0     360   0.119     0.5     0.6  2014 08 23 11 02 48.95
  47.799  32.781     9.4     0.0      99      99    99.0     360   0.133     0.4     0.6  2014 08 23 11 15 30.96
  47.741  32.697    10.5     0.0      99      99    99.0     360   0.212     0.8     0.9  2014 08 23 11 18 31.87
  47.558  32.783    10.2     0.0      99      99    99.0     360   0.148     0.3     0.3  2014 08 23 11 35 52.96
  47.743  32.689    10.4     0.0      99      99    99.0     360   0.125     0.5     0.4  2014 08 23 13 17 33.92
  47.638  32.686     9.9     0.0      99      99    99.0     360   0.132     0.4     0.5  2014 08 23 13 23 19.87
  47.757  32.649    10.8     0.0      99      99    99.0     360   0.141     0.5     0.4  2014 08 23 13 34 03.97
  47.762  32.718     9.4     0.0      99      99    99.0     360   0.067     0.8     0.5  2014 08 23 13 52 26.14
