53.28 36.35 7 27 4 2 North Alborz F.
52.70 36.50 7 4 4 2 Khazar F.
#51.74 36.17 7 0 4 2 Ka
52.34 35.75 7 -10 4 2 Mosha
51.93 35.43 7 0.0 4 2 Pa
52.75 35.50 7 0.0 4 2 So
52.72 35.77 7 0.0 4 2 Fi
52.70 35.32 7 0.0 4 2 Ga
53.20 35.92 7 0  4 2 Ch
53.65 36.10 7 40 4 2  As 
53.13 35.40 7 40 4 2  NS 
52.14 35.2  7 50 4 2  Ga 
51.43 35.52 7 0  4 2  Ka 
51.62 35.1  7 -30  4 2 Siah KuhF. 
53.26 35.78 7 49  4 2  Bm 
50.50 35.20 7 -26 4 2 K. Nosrat F.
50.12 35.49 7 -5 4 2 Parandak F.
50.00 35.87 8 -20 4 2 Ipak
50.61 35.87 7 0.0 4 2 Esh
48.50 36.30 7 -35 4 2 Soltanieh F.
49.00 36.50 7 -45 4 2 Zanjan F.
49.00 37.10 7 -55 4 2 Manjil F.
50.70 36.42 7 -15 4 2 Alamutrud F.
50.84 36.15 7 0.0 4 2 Taleghan F.
50.44 34.86 7 -45 4 2 Indes F.
49.7 37.2 7 30 4 2  Lahijan F.
50.5 36.95 7 -30 4 2  Bonan F.
49.0 38.2 7 -80 4 2  Talesh F.
48.6 38.0 7 70 4 2  Sangavar F.
48.25 38.1 7 60 4 2  Bozqush F.
49 37.5 7 -50 4 2  Masuleh F.
49.7 36.80 7 -20 4 2  Rudbar F.
49.9 36.45 7 0 4 2  North Qazvin F.
51.5 36.5 7 0 4 2  Koojor F.
#50.2 35.5 7 -10 4 2  South Paranda F.
#50.2 35.0 7 -30 4 2  Indes F.
50.1 34.5 7 -40 4 2  Tafresh F.
48.5 34.5 7 -40 4 2  Nahavand F.
#51.8 35.4 7 -30 4 2  Pishva F.
54.45 35.30 7 20 4 2  Torud F.
54.45 34.3 7 20 4 2  Doruneh F.
53.5 35.1 7 0 4 2  Kuh-e-Gugerd F.
54.67 36.46 7 0 4 2  Shahrud F.
54 36.10 6 28 4 2  Sabur F.
#54.50 36.22 6 0 4 2  Damghan F.
#54.65 36.38 7 0 4 2  Tazarch F.
#54.36 36.46 7 10 4 2  Tarnuza F.
51.50 36.30 7 0 4 2  Kandovan F.
51.25 35.87 7 0 4 2  N.T.F. 
53.95 36.31 7 30 4 2  Badeleh F.
52.65 35.10 6 0 4 2  Kuh-e-Gachab F. 
53.79 35.80 7 30 4 2  Attari F.
54.50 35.63 7 30 4 2  Yazdanabad F.
#52.3 36.15 7 -10 4 2  Bayjan F.
#52.72 36.13 5 0 4 2  Lalehband F.
#50.5 36.75 7 -30 4 2  Alamutrud F.
#50.8 36.3 10 0 4 2  Taleghan F.
#49.1 36.8 10 -50 4 2  Zanjan F.
#48.8 36.5 10 -40 4 2  Soltaniyeh F.
#50.2 35.8 10 -10 4 2  Ipak F.
#50.6 35.85 10 0 4 2  Eshtehard F.
#50.2 35.3 10 -20 4 2  Kushk-e-Nosr F.
#51.4 35.6 10 0 4 2  Kahrizak F.
#52 35.7 10 -20 4 2  Eyvanekey F.
#52 34.9 10 -20 4 2  Siah Kuh F.
51.80 38. 24 0 22 2  Caspian Sea 
#52.45 36.57 10 0 4 2  Khazar F.
#52.6 36.37 10 0 4 2  North Alborz 
#53.65 36.10 10 30 4 2  Astaneh F.
#52.45 35.85 10 0 4 2  Mosha F.
#52.77 35.85 10 30 4 2  Firouzkuh F.
#53.60 35.95 10 30 4 2  Bashm F.
#53.19 36.05 10 0 4 2  Chashm F.
#52.75 35.35 10 0 4 2  Garmsar F.
